contestant_id,season_number,contestant_entrance,contestant_name,age,hometown_city,hometown_state,season_outcome,handle_instagram,handle_twitter,datetime,followers_twitter,followers_instagram,datemin,datemax,twit_diff
117,10,2,Asia O'Hara,35,Dallas,Texas,4,asiaoharaland,AsiaOharaLand,2018-03-23 2:56:52,6466,NA,2018-03-23T01:18:27Z,2018-06-22T03:28:21Z,54238
118,10,3,Miz Cracker,33,Harlem,New York,5,miz_cracker,miz_cracker,2018-03-22 16:09:28,22147,NA,2018-03-21T20:20:19Z,2018-06-26T04:27:10Z,110959
120,10,5,Blair St. Clair,22,Indianapolis,Indiana,9,blairst.clair,BlairStClair,2018-04-20 5:15:38,36144,NA,2018-04-20T05:15:38Z,2018-06-25T20:00:16Z,37767
121,10,6,Monét X Change,27,The Bronx,New York,6,monetxchange,monetxchange,2018-03-23 19:18:26,11017,NA,2018-03-23T02:39:28Z,2018-06-25T21:44:16Z,71799
122,10,7,Kameron Michaels,31,Nashville,Tennessee,2,kameronmichaels,KameronMichaels,2018-03-22 0:54:34,9162,NA,2018-03-22T00:54:34Z,2018-06-21T21:52:03Z,61624
123,10,8,Mayhem Miller,35,Riverside,California,10,theonlymayhem,TheOnlyMayhem,2018-03-23 5:44:30,13438,NA,2018-03-23T05:44:30Z,2018-06-26T00:11:53Z,29561
124,10,9,Kalorie Karbdashian,27,Albuquerque,New Mexico,13,kalkarbdashianw,kalKARBdashianw,2018-04-01 21:47:52,9611,NA,2018-04-01T21:47:52Z,2018-05-31T01:42:22Z,9687
125,10,10,Monique Heart,31,Kansas City,Missouri,8,iammoniqueheart,IAmMoniqueHeart,2018-03-22 3:40:32,2523,NA,2018-03-22T03:40:32Z,2018-06-21T22:32:24Z,43470
126,10,11,Dusty Ray Bottoms,29,New York,New York,11,dustyray,DustyRayBottoms,2018-03-26 19:47:03,12138,NA,2018-03-26T19:47:03Z,2018-06-22T03:14:33Z,29188
127,10,12,The Vixen,26,Chicago,Illinois,7,thevixensworld,TheVixensworld,2018-03-23 22:29:47,5009,NA,2018-03-23T22:29:47Z,2018-06-25T16:38:02Z,26371
128,10,13,Vanessa Vanjie Mateo,25,Tampa,Florida,14,vanessavanjie,VanessaVanjie,2018-03-23 12:30:05,6780,NA,2018-03-23T12:30:05Z,2018-05-11T08:19:57Z,38640
129,10,14,Aquaria,21,Brooklyn,New York,1,ageofaquaria,aquariaofficial,2018-03-22 13:28:22,27628,NA,2018-03-22T01:51:01Z,2018-06-26T02:08:36Z,81480
