"","mean-all chains"
"ALPHA[1]",2.51910642779424
"ALPHA[2]",2.53936193231414
"ALPHA[3]",2.09360981781251
"ALPHA[4]",0.845686854038627
"ALPHA[5]",1.95755350755026
"ALPHA[6]",1.81317625764005
"BETA[1]",3.36397719337019
"BETA[2]",3.94823527768996
"BETA[3]",3.79054921258669
"BETA[4]",0.369477166454489
"BETA[5]",0.405147857858133
"BETA[6]",2.08279396135228
"mu",-3.06078146520095
"SD",4.31773546024309
"R[1,1]",1
"R[1,2]",0.74070331767635
"R[2,1]",0.74070331767635
"R[2,2]",1
