"","mean-all chains"
"BETA[1]",2.26539108881663
"BETA[2]",2.59280581832612
"BETA[3]",2.79547251544144
"BETA[4]",0.632790352101213
"BETA[5]",0.899166354400295
"BETA[6]",2.07084374593265
"mu",-2.92071932752764
"SD",3.67336501532194
"R[1,1]",1
"R[1,2]",0.72059123790588
"R[2,1]",0.72059123790588
"R[2,2]",1
