"","x"
"1",0.452191183920751
"2",0.398068848906243
"3",0.343795023192835
"4",0.334461650841057
"5",0.313102908360793
"6",0.304909242865328
"7",0.302574131995037
"8",0.313130573767961
"9",0.37288020890774
"10",0.480784588468093
"11",0.428023295284856
"12",0.359910482704396
"13",0.344384236934392
"14",0.313451807204143
"15",0.302536046514896
"16",0.294737680328756
"17",0.305724564481151
"18",0.366605507421109
"19",0.365829769570601
"20",0.37093731163498
"21",0.360250450340508
"22",0.339064868270183
"23",0.285159525421509
"24",0.265056905944258
"25",0.238936496130957
"26",0.245471657869445
"27",0.284034438251883
"28",0.289300152541536
"29",0.302220492634994
"30",0.310926336640351
"31",0.297665033996928
"32",0.245276014654024
"33",0.221199780427389
"34",0.190884560653209
"35",0.195041325763995
"36",0.218268287645848
"37",0.185209095743857
"38",0.18614132470617
"39",0.193928823929899
"40",0.189460728672332
"41",0.14948260660939
"42",0.129283035829191
"43",0.109797143543643
"44",0.113419780573391
"45",0.125088155378679
"46",0.159972243920119
"47",0.156216384516743
"48",0.162700028881194
"49",0.158472476510584
"50",0.125923675255899
"51",0.110424837013867
"52",0.0979532910624793
"53",0.10178670174288
"54",0.111841949941494
"55",0.131090036326712
"56",0.122205660934744
"57",0.127485710888585
"58",0.121738575673142
"59",0.0976846101290042
"60",0.0888828609196043
"61",0.0911159060668855
"62",0.0955287482623878
"63",0.102904303352372
"64",0.117065516215602
"65",0.110469942177908
"66",0.120344863258891
"67",0.114625362747505
"68",0.0919912623212847
"69",0.0846831479821273
"70",0.0907461621802583
"71",0.0962593684289968
"72",0.103203729223393
"73",0.15326472125714
"74",0.128580532517748
"75",0.119102193392779
"76",0.108392368607154
"77",0.0860054973758428
"78",0.0822821633752999
"79",0.1006589372078
"80",0.102638509706427
"81",0.114519993599182
